items;lenItems;support;PBoarder;NBoarder;ClosedSet;FreeSet
(0, 6);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(2, 4);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(1, 2);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(0, 4);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(2, 3);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(1, 3);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(0, 2, 3);3;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(0, 1, 2);3;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(0, 1, 3);3;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(6,);1;0.75;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(4,);1;0.75;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(0, 7);2;0.75;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(7,);1;0.8;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(1,);1;0.8;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(0, 2);2;0.8;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(0, 1);2;0.8;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(3,);1;0.85;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
(2,);1;0.85;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[0, 2, 3], [0, 3, 4], [0, 1, 3], [0], [7], [6], [2], [0, 1, 2, 3], [0, 3, 6], [1, 2, 4], [0, 1, 2], [4], [0, 1, 4], [0, 1, 7], [0, 1, 6], [0, 3, 7], [0, 3], [0, 1]];[[0, 6], [7], [3], [0], [6], [0, 7], [0, 4], [1, 2], [4], [2, 3], [0, 2], [1], [1, 3], [2, 4], [2]];
