items;lenItems;support;PBoarder;NBoarder;ClosedSet;FreeSet
(0, 6);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[[7], 16], [[5], 7], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 1], 16], [[8], 9], [[4], 15], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[9], 9]];[[[0, 6], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[8], 9], [[1, 2], 14], [[4], 15], [[2, 3], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 4], 14], [[2], 17], [[9], 9]];
(2, 4);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[[7], 16], [[5], 7], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 1], 16], [[8], 9], [[4], 15], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[9], 9]];[[[0, 6], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[8], 9], [[1, 2], 14], [[4], 15], [[2, 3], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 4], 14], [[2], 17], [[9], 9]];
(1, 2);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[[7], 16], [[5], 7], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 1], 16], [[8], 9], [[4], 15], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[9], 9]];[[[0, 6], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[8], 9], [[1, 2], 14], [[4], 15], [[2, 3], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 4], 14], [[2], 17], [[9], 9]];
(0, 4);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[[7], 16], [[5], 7], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 1], 16], [[8], 9], [[4], 15], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[9], 9]];[[[0, 6], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[8], 9], [[1, 2], 14], [[4], 15], [[2, 3], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 4], 14], [[2], 17], [[9], 9]];
(2, 3);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[[7], 16], [[5], 7], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 1], 16], [[8], 9], [[4], 15], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[9], 9]];[[[0, 6], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[8], 9], [[1, 2], 14], [[4], 15], [[2, 3], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 4], 14], [[2], 17], [[9], 9]];
(1, 3);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[[7], 16], [[5], 7], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 1], 16], [[8], 9], [[4], 15], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[9], 9]];[[[0, 6], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[8], 9], [[1, 2], 14], [[4], 15], [[2, 3], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 4], 14], [[2], 17], [[9], 9]];
(0, 2, 3);3;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[[7], 16], [[5], 7], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 1], 16], [[8], 9], [[4], 15], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[9], 9]];[[[0, 6], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[8], 9], [[1, 2], 14], [[4], 15], [[2, 3], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 4], 14], [[2], 17], [[9], 9]];
(0, 1, 2);3;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[[7], 16], [[5], 7], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 1], 16], [[8], 9], [[4], 15], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[9], 9]];[[[0, 6], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[8], 9], [[1, 2], 14], [[4], 15], [[2, 3], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 4], 14], [[2], 17], [[9], 9]];
(0, 1, 3);3;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[[7], 16], [[5], 7], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 1], 16], [[8], 9], [[4], 15], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[9], 9]];[[[0, 6], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[8], 9], [[1, 2], 14], [[4], 15], [[2, 3], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 4], 14], [[2], 17], [[9], 9]];
(6,);1;0.75;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];[[[7], 16], [[5], 7], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 1], 16], [[8], 9], [[4], 15], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[9], 9]];[[[0, 6], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[8], 9], [[1, 2], 14], [[4], 15], [[2, 3], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 4], 14], [[2], 17], [[9], 9]];
