items;lenItems;support;PBoarder;NBoarder
(0, 6);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(2, 4);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(1, 2);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(0, 4);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(2, 3);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(1, 3);2;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(0, 2, 3);3;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(0, 1, 2);3;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(0, 1, 3);3;0.7;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(6,);1;0.75;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(4,);1;0.75;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(0, 7);2;0.75;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(7,);1;0.8;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(1,);1;0.8;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(0, 2);2;0.8;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(0, 1);2;0.8;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(3,);1;0.85;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(2,);1;0.85;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(0, 3);2;0.85;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
(0,);1;0.95;[[0, 6], [2, 4], [0, 1, 3], [0, 2, 3], [0, 4], [0, 7], [0, 1, 2]];[[5], [8], [9]];
