items;lenItems;support;PBoarder;NBoarder
(3, 4);2;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(1, 7);2;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(1, 6);2;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(4, 6);2;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 3, 4);3;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 2, 6);3;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 2, 7);3;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(1, 2, 3);3;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 4, 7);3;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 1, 6);3;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 6, 7);3;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
